match_source_ref.type,match_source_ref.value,match_source_ref.ref_key
network_element | network_element | network_element | network_element | network_element,10.58.129.0/24 | 10.58.130.0 | 10.58.200.0 | AIC SWD | Alexandria_Software_129,
network_element | network_element,10.54.200.0/24 | AIC Operations,
network_element | network_element | network_element | network_element | network_element,10.58.129.0/24 | 10.58.130.0 | 10.58.200.0 | AIC SWD | Alexandria_Software_129,
network_element | network_element,AIC-CAI-IT | Alexandria_IT_Admin_125,
network_element,Cairo_EPM_Stg_Web_Server,
network_element,Cairo_EPM_Stg_Web_Server,
network_element,Cairo_Prometheus,
network_element | network_element,AIC-CAI-IT | Alexandria_IT_Admin_125,
network_element | network_element,AIC SWD | Alexandria_Software_129,
network_element | network_element | network_element,10.53.106.242 | 10.53.106.250 | Explatory VM,
network_element,10.53.106.242,
network_element | network_element,host-10.53.102.31 | host-10.53.102.32,
network_element,network-10.53.125.0/24,
network_element,host-10.53.135.100,
network_element | network_element | network_element,10.53.106.100 | 10.53.106.219 | 10.53.106.220,
network_element,FAHD.mcit,
network_element | network_element | network_element,10.54.125.0 | 10.58.125.0./24 | network-10.53.125.0/24,
network_element | network_element | network_element,10.54.125.0 | 10.58.125.0./24 | network-10.53.125.0/24,
network_element | network_element | network_element,10.54.200.0/24 | Alexandria_R&D_Team_126    | Alexandria_Software_129,
network_element,host-10.53.135.100,
network_element,Cairo_R&D_Team_126-,
network_element,host-10.53.135.100,
network_element,network-10.53.145.0/24,
